Nom Complet;Email;Téléphone;Restaurant;Plateforme
Client 119;xxx@gmail.com;601020422;Restaurant 3;Plateforme 1
Client 120;xxx@yahoo.fr;601020423;Restaurant 2;Plateforme 5
Client 121;xxx@hotmail.fr;601020424;Restaurant 2;Plateforme 4
Client 122;xxx@outlook.fr;601020425;Restaurant 1;Plateforme 1
Client 123;xxx@hoya.com;601020426;Restaurant 1;Plateforme 2
Client 124;xxx@live.fr;601020427;Restaurant 1;Plateforme 3
Client 125;xxx@icloud.com;601020428;Restaurant 2;Plateforme 4
Client 126;xxx@gmail.com;601020429;Restaurant 3;Plateforme 5
Client 127;xxx@yahoo.fr;601020430;Restaurant 1;Plateforme 2
Client 128;xxx@hotmail.fr;601020431;Restaurant 2;Plateforme 2
Client 129;xxx@outlook.fr;601020432;Restaurant 3;Plateforme 3
Client 130;xxx@hoya.com;601020433;Restaurant 1;Plateforme 1
Client 131;xxx@live.fr;601020434;Restaurant 2;Plateforme 5
Client 132;xxx@icloud.com;601020435;Restaurant 3;Plateforme 4
Client 133;xxx@gmail.com;601020436;Restaurant 1;Plateforme 1
Client 134;xxx@yahoo.fr;601020437;Restaurant 2;Plateforme 2
Client 135;xxx@hotmail.fr;601020438;Restaurant 3;Plateforme 3
Client 136;xxx@outlook.fr;601020439;Restaurant 3;Plateforme 4
Client 137;xxx@hoya.com;601020440;Restaurant 2;Plateforme 5
Client 138;xxx@live.fr;601020441;Restaurant 1;Plateforme 2
Client 139;xxx@icloud.com;601020442;Restaurant 2;Plateforme 2
Client 140;xxx@gmail.com;601020443;Restaurant 3;Plateforme 3
Client 141;xxx@yahoo.fr;601020444;Restaurant 2;Plateforme 1
Client 142;xxx@hotmail.fr;601020445;Restaurant 2;Plateforme 5
Client 143;xxx@outlook.fr;601020446;Restaurant 1;Plateforme 4
Client 144;xxx@hoya.com;601020447;Restaurant 1;Plateforme 1
Client 145;xxx@live.fr;601020448;Restaurant 1;Plateforme 2
Client 146;xxx@icloud.com;601020449;Restaurant 2;Plateforme 3
Client 147;xxx@gmail.com;601020450;Restaurant 3;Plateforme 4
Client 148;xxx@yahoo.fr;601020451;Restaurant 1;Plateforme 5
Client 149;xxx@hotmail.fr;601020452;Restaurant 2;Plateforme 2
Client 150;xxx@outlook.fr;601020453;Restaurant 3;Plateforme 2
Client 151;xxx@hoya.com;601020454;Restaurant 1;Plateforme 3
Client 152;xxx@live.fr;601020455;Restaurant 2;Plateforme 1
Client 153;xxx@icloud.com;601020456;Restaurant 3;Plateforme 5
Client 154;xxx@gmail.com;601020457;Restaurant 1;Plateforme 4
Client 155;xxx@yahoo.fr;601020458;Restaurant 2;Plateforme 1
Client 156;xxx@hotmail.fr;601020459;Restaurant 3;Plateforme 2
Client 157;xxx@outlook.fr;601020460;Restaurant 3;Plateforme 3
Client 158;xxx@hoya.com;601020461;Restaurant 2;Plateforme 4
Client 159;xxx@live.fr;601020462;Restaurant 1;Plateforme 5
Client 160;xxx@icloud.com;601020463;Restaurant 2;Plateforme 2
Client 161;xxx@gmail.com;601020464;Restaurant 3;Plateforme 2
Client 162;xxx@yahoo.fr;601020465;Restaurant 2;Plateforme 3
Client 163;xxx@hotmail.fr;601020466;Restaurant 2;Plateforme 1
Client 164;xxx@outlook.fr;601020467;Restaurant 1;Plateforme 5
Client 165;xxx@hoya.com;601020468;Restaurant 1;Plateforme 4
Client 166;xxx@live.fr;601020469;Restaurant 1;Plateforme 1
Client 167;xxx@icloud.com;601020470;Restaurant 2;Plateforme 2
Client 168;xxx@gmail.com;601020471;Restaurant 3;Plateforme 3
Client 169;xxx@yahoo.fr;601020472;Restaurant 1;Plateforme 4
Client 170;xxx@hotmail.fr;601020473;Restaurant 2;Plateforme 5
Client 171;xxx@outlook.fr;601020474;Restaurant 3;Plateforme 2
Client 172;xxx@hoya.com;601020475;Restaurant 1;Plateforme 2
Client 173;xxx@live.fr;601020476;Restaurant 2;Plateforme 3
Client 174;xxx@icloud.com;601020477;Restaurant 3;Plateforme 1
Client 175;xxx@gmail.com;601020478;Restaurant 1;Plateforme 5
Client 176;xxx@yahoo.fr;601020479;Restaurant 2;Plateforme 4
Client 177;xxx@hotmail.fr;601020480;Restaurant 3;Plateforme 1
Client 178;xxx@outlook.fr;601020481;Restaurant 3;Plateforme 2
Client 179;xxx@hoya.com;601020482;Restaurant 2;Plateforme 3
Client 180;xxx@live.fr;601020483;Restaurant 1;Plateforme 4
Client 181;xxx@icloud.com;601020484;Restaurant 2;Plateforme 5
Client 182;xxx@gmail.com;601020485;Restaurant 3;Plateforme 2
Client 183;xxx@yahoo.fr;601020486;Restaurant 2;Plateforme 2
Client 184;xxx@hotmail.fr;601020487;Restaurant 2;Plateforme 3
Client 185;xxx@outlook.fr;601020488;Restaurant 1;Plateforme 1
Client 186;xxx@hoya.com;601020489;Restaurant 1;Plateforme 5
Client 187;xxx@live.fr;601020490;Restaurant 1;Plateforme 4
Client 188;xxx@icloud.com;601020491;Restaurant 2;Plateforme 1
Client 189;xxx@gmail.com;601020492;Restaurant 3;Plateforme 2
Client 190;xxx@yahoo.fr;601020493;Restaurant 1;Plateforme 3
Client 191;xxx@hotmail.fr;601020494;Restaurant 2;Plateforme 4
Client 192;xxx@outlook.fr;601020495;Restaurant 3;Plateforme 5
Client 193;xxx@hoya.com;601020496;Restaurant 1;Plateforme 2
Client 194;xxx@live.fr;601020497;Restaurant 2;Plateforme 2
Client 195;xxx@icloud.com;601020498;Restaurant 3;Plateforme 3
Client 196;xxx@gmail.com;601020499;Restaurant 1;Plateforme 1
Client 197;xxx@yahoo.fr;601020500;Restaurant 2;Plateforme 5
Client 198;xxx@hotmail.fr;601020501;Restaurant 3;Plateforme 4
Client 199;xxx@outlook.fr;601020502;Restaurant 3;Plateforme 1
Client 200;xxx@hoya.com;601020503;Restaurant 2;Plateforme 2
Client 201;xxx@live.fr;601020504;Restaurant 1;Plateforme 3
Client 202;xxx@icloud.com;601020505;Restaurant 2;Plateforme 4
Client 203;xxx@gmail.com;601020506;Restaurant 3;Plateforme 5
Client 204;xxx@yahoo.fr;601020507;Restaurant 2;Plateforme 2
Client 205;xxx@hotmail.fr;601020508;Restaurant 2;Plateforme 2
Client 206;xxx@outlook.fr;601020509;Restaurant 1;Plateforme 3
Client 207;xxx@hoya.com;601020510;Restaurant 1;Plateforme 1
Client 208;xxx@live.fr;601020511;Restaurant 1;Plateforme 5
Client 209;xxx@icloud.com;601020512;Restaurant 2;Plateforme 4
Client 210;xxx@gmail.com;601020513;Restaurant 3;Plateforme 1
Client 211;xxx@yahoo.fr;601020514;Restaurant 1;Plateforme 2
Client 212;xxx@hotmail.fr;601020515;Restaurant 2;Plateforme 3
Client 213;xxx@outlook.fr;601020516;Restaurant 3;Plateforme 4
Client 214;xxx@hoya.com;601020517;Restaurant 1;Plateforme 5
Client 215;xxx@live.fr;601020518;Restaurant 2;Plateforme 2
Client 216;xxx@icloud.com;601020519;Restaurant 3;Plateforme 2
Client 217;xxx@gmail.com;601020520;Restaurant 1;Plateforme 3
Client 218;xxx@yahoo.fr;601020521;Restaurant 2;Plateforme 1
Client 219;xxx@hotmail.fr;601020522;Restaurant 3;Plateforme 5
Client 220;xxx@outlook.fr;601020523;Restaurant 3;Plateforme 4
Client 221;xxx@hoya.com;601020524;Restaurant 2;Plateforme 1
Client 222;xxx@live.fr;601020525;Restaurant 1;Plateforme 2
Client 223;xxx@icloud.com;601020526;Restaurant 2;Plateforme 3
Client 224;xxx@gmail.com;601020527;Restaurant 3;Plateforme 4
Client 225;xxx@yahoo.fr;601020528;Restaurant 2;Plateforme 5
Client 226;xxx@hotmail.fr;601020529;Restaurant 2;Plateforme 2
Client 227;xxx@outlook.fr;601020530;Restaurant 1;Plateforme 2
Client 228;xxx@hoya.com;601020531;Restaurant 1;Plateforme 3
Client 229;xxx@live.fr;601020532;Restaurant 1;Plateforme 1
Client 230;xxx@icloud.com;601020533;Restaurant 2;Plateforme 5
Client 231;xxx@gmail.com;601020534;Restaurant 3;Plateforme 4
Client 232;xxx@yahoo.fr;601020535;Restaurant 1;Plateforme 1
Client 233;xxx@hotmail.fr;601020536;Restaurant 2;Plateforme 2
Client 234;xxx@outlook.fr;601020537;Restaurant 3;Plateforme 3
Client 235;xxx@hoya.com;601020538;Restaurant 1;Plateforme 4
Client 236;xxx@live.fr;601020539;Restaurant 2;Plateforme 5
Client 237;xxx@icloud.com;601020540;Restaurant 3;Plateforme 2
Client 238;xxx@gmail.com;601020541;Restaurant 1;Plateforme 2
Client 239;xxx@yahoo.fr;601020542;Restaurant 2;Plateforme 3
Client 240;xxx@hotmail.fr;601020543;Restaurant 3;Plateforme 1
Client 241;xxx@outlook.fr;601020544;Restaurant 3;Plateforme 5
Client 242;xxx@hoya.com;601020545;Restaurant 2;Plateforme 4
Client 243;xxx@live.fr;601020546;Restaurant 1;Plateforme 1
Client 244;xxx@icloud.com;601020547;Restaurant 2;Plateforme 2
Client 245;xxx@gmail.com;601020548;Restaurant 3;Plateforme 3
Client 246;xxx@yahoo.fr;601020549;Restaurant 2;Plateforme 4
Client 247;xxx@hotmail.fr;601020550;Restaurant 2;Plateforme 5
Client 248;xxx@outlook.fr;601020551;Restaurant 1;Plateforme 2
Client 249;xxx@hoya.com;601020552;Restaurant 1;Plateforme 2
Client 250;xxx@live.fr;601020553;Restaurant 1;Plateforme 3
Client 251;xxx@icloud.com;601020554;Restaurant 2;Plateforme 1
Client 252;xxx@gmail.com;601020555;Restaurant 3;Plateforme 5
Client 253;xxx@yahoo.fr;601020556;Restaurant 1;Plateforme 4
Client 254;xxx@hotmail.fr;601020557;Restaurant 2;Plateforme 1
Client 255;xxx@outlook.fr;601020558;Restaurant 3;Plateforme 2
Client 256;xxx@hoya.com;601020559;Restaurant 1;Plateforme 3
Client 257;xxx@live.fr;601020560;Restaurant 2;Plateforme 4
Client 258;xxx@icloud.com;601020561;Restaurant 3;Plateforme 5
Client 259;xxx@gmail.com;601020562;Restaurant 1;Plateforme 2
Client 260;xxx@yahoo.fr;601020563;Restaurant 2;Plateforme 2
Client 261;xxx@hotmail.fr;601020564;Restaurant 3;Plateforme 3
Client 262;xxx@outlook.fr;601020565;Restaurant 3;Plateforme 1
Client 263;xxx@hoya.com;601020566;Restaurant 2;Plateforme 5
Client 264;xxx@live.fr;601020567;Restaurant 1;Plateforme 4
Client 265;xxx@icloud.com;601020568;Restaurant 2;Plateforme 1
Client 266;xxx@gmail.com;601020569;Restaurant 3;Plateforme 2
Client 267;xxx@yahoo.fr;601020570;Restaurant 2;Plateforme 3
Client 268;xxx@hotmail.fr;601020571;Restaurant 2;Plateforme 4
Client 269;xxx@outlook.fr;601020572;Restaurant 1;Plateforme 5
Client 270;xxx@hoya.com;601020573;Restaurant 1;Plateforme 2
Client 271;xxx@live.fr;601020574;Restaurant 1;Plateforme 2
Client 272;xxx@icloud.com;601020575;Restaurant 2;Plateforme 3
Client 273;xxx@gmail.com;601020576;Restaurant 3;Plateforme 1
Client 274;xxx@yahoo.fr;601020577;Restaurant 1;Plateforme 5
Client 275;xxx@hotmail.fr;601020578;Restaurant 2;Plateforme 4
Client 276;xxx@outlook.fr;601020579;Restaurant 3;Plateforme 1
Client 277;xxx@hoya.com;601020580;Restaurant 1;Plateforme 2
Client 278;xxx@live.fr;601020581;Restaurant 2;Plateforme 3
Client 279;xxx@icloud.com;601020582;Restaurant 3;Plateforme 4
Client 280;xxx@gmail.com;601020583;Restaurant 1;Plateforme 5
Client 281;xxx@yahoo.fr;601020584;Restaurant 2;Plateforme 2
Client 282;xxx@hotmail.fr;601020585;Restaurant 3;Plateforme 2
Client 283;xxx@outlook.fr;601020586;Restaurant 3;Plateforme 3
Client 284;xxx@hoya.com;601020587;Restaurant 2;Plateforme 1
Client 285;xxx@live.fr;601020588;Restaurant 1;Plateforme 5
Client 286;xxx@icloud.com;601020589;Restaurant 2;Plateforme 4
Client 287;xxx@gmail.com;601020590;Restaurant 3;Plateforme 1
Client 288;xxx@yahoo.fr;601020591;Restaurant 2;Plateforme 2
Client 289;xxx@hotmail.fr;601020592;Restaurant 2;Plateforme 3
Client 290;xxx@outlook.fr;601020593;Restaurant 1;Plateforme 4
Client 291;xxx@hoya.com;601020594;Restaurant 1;Plateforme 5
Client 292;xxx@live.fr;601020595;Restaurant 1;Plateforme 2
Client 293;xxx@icloud.com;601020596;Restaurant 2;Plateforme 2
Client 294;xxx@gmail.com;601020597;Restaurant 3;Plateforme 3
Client 295;xxx@yahoo.fr;601020598;Restaurant 1;Plateforme 1
Client 296;xxx@hotmail.fr;601020599;Restaurant 2;Plateforme 5
Client 297;xxx@outlook.fr;601020600;Restaurant 3;Plateforme 4
Client 298;xxx@hoya.com;601020601;Restaurant 1;Plateforme 1
Client 299;xxx@live.fr;601020602;Restaurant 2;Plateforme 2
Client 300;xxx@icloud.com;601020603;Restaurant 3;Plateforme 3
Client 301;xxx@gmail.com;601020604;Restaurant 1;Plateforme 4
Client 302;xxx@yahoo.fr;601020605;Restaurant 2;Plateforme 5
Client 303;xxx@hotmail.fr;601020606;Restaurant 3;Plateforme 2
Client 304;xxx@outlook.fr;601020607;Restaurant 3;Plateforme 2
Client 305;xxx@hoya.com;601020608;Restaurant 2;Plateforme 3
Client 306;xxx@live.fr;601020609;Restaurant 1;Plateforme 1
Client 307;xxx@icloud.com;601020610;Restaurant 2;Plateforme 5
Client 308;xxx@gmail.com;601020611;Restaurant 3;Plateforme 4
Client 309;xxx@yahoo.fr;601020612;Restaurant 2;Plateforme 1
Client 310;xxx@hotmail.fr;601020613;Restaurant 2;Plateforme 2
Client 311;xxx@outlook.fr;601020614;Restaurant 1;Plateforme 3
Client 312;xxx@hoya.com;601020615;Restaurant 1;Plateforme 4
Client 313;xxx@live.fr;601020616;Restaurant 1;Plateforme 5
Client 314;xxx@icloud.com;601020617;Restaurant 2;Plateforme 2
Client 315;xxx@gmail.com;601020618;Restaurant 3;Plateforme 2
Client 316;xxx@yahoo.fr;601020619;Restaurant 1;Plateforme 3
Client 317;xxx@hotmail.fr;601020620;Restaurant 2;Plateforme 1
Client 318;xxx@outlook.fr;601020621;Restaurant 3;Plateforme 5
Client 319;xxx@hoya.com;601020622;Restaurant 1;Plateforme 4
Client 320;xxx@live.fr;601020623;Restaurant 2;Plateforme 1
Client 321;xxx@icloud.com;601020624;Restaurant 3;Plateforme 2
Client 322;xxx@gmail.com;601020625;Restaurant 1;Plateforme 3
Client 323;xxx@yahoo.fr;601020626;Restaurant 2;Plateforme 4
Client 324;xxx@hotmail.fr;601020627;Restaurant 3;Plateforme 5
Client 325;xxx@outlook.fr;601020628;Restaurant 3;Plateforme 2
Client 326;xxx@hoya.com;601020629;Restaurant 2;Plateforme 2
Client 327;xxx@live.fr;601020630;Restaurant 1;Plateforme 3
Client 328;xxx@icloud.com;601020631;Restaurant 2;Plateforme 1
Client 329;xxx@gmail.com;601020632;Restaurant 3;Plateforme 5
Client 330;xxx@yahoo.fr;601020633;Restaurant 2;Plateforme 4
Client 331;xxx@hotmail.fr;601020634;Restaurant 2;Plateforme 1
Client 332;xxx@outlook.fr;601020635;Restaurant 1;Plateforme 2
Client 333;xxx@hoya.com;601020636;Restaurant 1;Plateforme 3
Client 334;xxx@live.fr;601020637;Restaurant 1;Plateforme 4
Client 335;xxx@icloud.com;601020638;Restaurant 2;Plateforme 5
Client 336;xxx@gmail.com;601020639;Restaurant 3;Plateforme 2
Client 337;xxx@yahoo.fr;601020640;Restaurant 1;Plateforme 2
Client 338;xxx@hotmail.fr;601020641;Restaurant 2;Plateforme 3
Client 339;xxx@outlook.fr;601020642;Restaurant 3;Plateforme 1
Client 340;xxx@hoya.com;601020643;Restaurant 1;Plateforme 5
Client 341;xxx@live.fr;601020644;Restaurant 2;Plateforme 4
Client 342;xxx@icloud.com;601020645;Restaurant 3;Plateforme 1
Client 343;xxx@gmail.com;601020646;Restaurant 1;Plateforme 2
Client 344;xxx@yahoo.fr;601020647;Restaurant 2;Plateforme 3
Client 345;xxx@hotmail.fr;601020648;Restaurant 3;Plateforme 4
Client 346;xxx@outlook.fr;601020649;Restaurant 3;Plateforme 5
Client 347;xxx@hoya.com;601020650;Restaurant 2;Plateforme 2
Client 348;xxx@live.fr;601020651;Restaurant 1;Plateforme 2
Client 349;xxx@icloud.com;601020652;Restaurant 2;Plateforme 3
Client 350;xxx@gmail.com;601020653;Restaurant 3;Plateforme 1
Client 351;xxx@yahoo.fr;601020654;Restaurant 2;Plateforme 5
Client 352;xxx@hotmail.fr;601020655;Restaurant 2;Plateforme 4
Client 353;xxx@outlook.fr;601020656;Restaurant 1;Plateforme 1
Client 354;xxx@hoya.com;601020657;Restaurant 1;Plateforme 2
Client 355;xxx@live.fr;601020658;Restaurant 1;Plateforme 3
Client 356;xxx@icloud.com;601020659;Restaurant 2;Plateforme 4
Client 357;xxx@gmail.com;601020660;Restaurant 3;Plateforme 5
Client 358;xxx@yahoo.fr;601020661;Restaurant 1;Plateforme 2
Client 359;xxx@hotmail.fr;601020662;Restaurant 2;Plateforme 2
Client 360;xxx@outlook.fr;601020663;Restaurant 3;Plateforme 3
Client 361;xxx@hoya.com;601020664;Restaurant 1;Plateforme 1
Client 362;xxx@live.fr;601020665;Restaurant 2;Plateforme 5
Client 363;xxx@icloud.com;601020666;Restaurant 3;Plateforme 4
Client 364;xxx@gmail.com;601020667;Restaurant 1;Plateforme 1
Client 365;xxx@yahoo.fr;601020668;Restaurant 2;Plateforme 2
Client 366;xxx@hotmail.fr;601020669;Restaurant 3;Plateforme 3
Client 367;xxx@outlook.fr;601020670;Restaurant 3;Plateforme 4
Client 368;xxx@hoya.com;601020671;Restaurant 2;Plateforme 5
Client 369;xxx@live.fr;601020672;Restaurant 1;Plateforme 2
Client 370;xxx@icloud.com;601020673;Restaurant 2;Plateforme 2
Client 371;xxx@gmail.com;601020674;Restaurant 3;Plateforme 3
Client 372;xxx@yahoo.fr;601020675;Restaurant 2;Plateforme 1
Client 373;xxx@hotmail.fr;601020676;Restaurant 2;Plateforme 5
Client 374;xxx@outlook.fr;601020677;Restaurant 1;Plateforme 4
Client 375;xxx@hoya.com;601020678;Restaurant 1;Plateforme 1
Client 376;xxx@live.fr;601020679;Restaurant 1;Plateforme 2
Client 377;xxx@icloud.com;601020680;Restaurant 2;Plateforme 3
Client 378;xxx@gmail.com;601020681;Restaurant 3;Plateforme 4
Client 379;xxx@yahoo.fr;601020682;Restaurant 1;Plateforme 5
Client 380;xxx@hotmail.fr;601020683;Restaurant 2;Plateforme 2
Client 381;xxx@outlook.fr;601020684;Restaurant 3;Plateforme 2
Client 382;xxx@hoya.com;601020685;Restaurant 1;Plateforme 3
Client 383;xxx@live.fr;601020686;Restaurant 2;Plateforme 1
Client 384;xxx@icloud.com;601020687;Restaurant 3;Plateforme 5
Client 385;xxx@gmail.com;601020688;Restaurant 1;Plateforme 4
Client 386;xxx@yahoo.fr;601020689;Restaurant 2;Plateforme 1
Client 387;xxx@hotmail.fr;601020690;Restaurant 3;Plateforme 2
Client 388;xxx@outlook.fr;601020691;Restaurant 3;Plateforme 3
Client 389;xxx@hoya.com;601020692;Restaurant 2;Plateforme 4
Client 390;xxx@live.fr;601020693;Restaurant 1;Plateforme 5
Client 391;xxx@icloud.com;601020694;Restaurant 2;Plateforme 2
Client 392;xxx@gmail.com;601020695;Restaurant 3;Plateforme 2
